Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,EvolvedLookerUp2_2_2,2.8275308641975307,0.7438569958847736,53.0,1.0,0.6626275720164612,0.08122942386831279,0.14589835390946485,0.11024465020576127,0.8590769716185204,0.4487624885478318,0.5342976978087451,0.8459885980450591
1,Evolved HMM 5,2.820853909465021,0.7417034979423869,47.0,1.0,0.6893742798353909,0.052329218106995895,0.12311296296296295,0.13518353909465022,0.9978434800834285,0.4719581433162021,0.017162944006248224,0.20399520616859093
2,Evolved ANN 5,2.8165432098765435,0.7106427983539094,49.0,1.0,0.6932123456790122,0.017430452674897106,0.11169609053497949,0.17766111111111113,1.0,0.7150009347128573,0,0.29031918330930445
3,Evolved FSM 16,2.813312757201646,0.7160839506172839,68.0,1.0,0.6211364197530864,0.09494753086419756,0.16657798353909467,0.11733806584362141,0.8318170032774511,0.5755730157684729,0.4866114085807714,0.3667299382955679
4,Evolved ANN,2.811460905349794,0.725672633744856,49.0,1.0,0.70704012345679,0.018632510288065837,0.10390473251028808,0.17042263374485597,0.9840923010159348,0.8362766484826387,0.40349147416977477,0.056462869960771926
5,Evolved FSM 16 Noise 05,2.807438271604939,0.716233744855967,49.0,1.0,0.6923948559670782,0.023838888888888875,0.11126337448559676,0.17250288065843625,0.9797226913629092,0.5703000995149664,0.41056562029968824,0.06669481690736008
6,PSO Gambler 2_2_2,2.7962345679012346,0.6906137860082304,48.0,1.0,0.6171170781893003,0.07349670781893007,0.15849588477366258,0.15089032921810708,0.8688767342141193,0.399627861811849,0.46158356636760606,0.40422376174982855
7,PSO Gambler 1_1_1,2.793240740740741,0.7011977366255144,55.0,1.0,0.6660248971193415,0.03517283950617283,0.12414938271604939,0.17465288065843618,1.0,0.2970308316713961,0,0.12856010009079594
8,PSO Gambler Mem1,2.7873251028806587,0.725430658436214,51.0,1.0,0.6822386831275721,0.04319197530864196,0.11595617283950614,0.15861316872427972,1.0,0.5191125076525174,0,0.11985813123913004
9,"Omega TFT: 3, 8",2.7861419753086416,0.7262399176954732,43.0,1.0,0.7140137860082303,0.012226131687242792,0.0923331275720165,0.18142695473251041,0.9997269662018723,0.16210786352345985,0.5986978384103502,0.03110436236892806
10,Evolved FSM 4,2.7784362139917693,0.7796473251028807,40.0,1.0,0.6739314814814813,0.10571584362139926,0.13409650205761323,0.08625617283950622,0.935657727308577,0.4415530659710023,0,0.7904664386551233
11,"DBS: 0.75, 3, 4, 3, 5",2.7664300411522635,0.7370623456790123,37.0,1.0,0.7086222222222224,0.0284401234567901,0.0941662551440329,0.16877139917695472,0.986072505396479,0.7930811755746826,0.26723754516859133,0.1651311195395584
12,Gradual,2.7553909465020583,0.7422862139917695,53.0,1.0,0.7203713991769547,0.021914814814814793,0.08399444444444445,0.17371934156378607,1.0,0.3643910816498768,0.32517564639855595,0.14143814554986864
13,PSO Gambler 2_2_2 Noise 05,2.7513374485596707,0.7241648148148148,49.0,1.0,0.6676755144032922,0.0564893004115226,0.11779444444444447,0.1580407407407407,0.8434758543848851,0.49917305607644186,0.6780112409500147,0.34053647235734863
14,Winner12,2.746913580246914,0.681861316872428,55.0,1.0,0.6433296296296297,0.038531687242798346,0.12455452674897113,0.19358415637860082,1.0,0.36922667760792993,0,0.4467887425400012
15,"DoubleCrosser: (D, D)",2.7448971193415623,0.6764236625514404,185.0,1.0,0.6597808641975307,0.01664279835390946,0.1105183127572018,0.21305802469135815,0.9963375933073867,0.7990966637257317,0.2785556045661679,0
16,Fool Me Once,2.732592592592593,0.6223331275720164,66.0,1.0,0.6177656378600822,0.004567489711934158,0.12534115226337444,0.2523257201646091,1.0,0.579449747332959,0,0
17,"EugineNier: (D,)",2.7303292181069945,0.6453189300411523,201.5,1.0,0.6384792181069963,0.006839711934156366,0.11503189300411508,0.23964917695473237,0.9966836956678318,0,0.44461992019848856,0
18,Second by GraaskampKatzen,2.729609053497942,0.6655460905349794,54.0,1.0,0.6545528806584363,0.010993209876543196,0.10787345679012346,0.22658045267489707,0.9952428653668032,0,0.5056179034873279,0
19,Spiteful Tit For Tat,2.728415637860082,0.666470987654321,53.0,1.0,0.6333395061728395,0.03313148148148146,0.12362901234567897,0.20990000000000003,1.0,0,0.6610314756997022,0
20,"BackStabber: (D, D)",2.7272222222222213,0.6383541152263374,195.0,1.0,0.6300864197530861,0.008267695473251034,0.11886687242798369,0.24277901234567925,0.9967928524104295,0.7875040876862378,0,0
21,Second by Borufsen,2.7213991769547325,0.8009946502057613,22.5,1.0,0.7586248971193416,0.04236975308641972,0.06160185185185189,0.1374034979423868,0.9985894382949613,0.14139979877825204,0.7874822550934347,0.11007953222188724
22,Second by Rowsam,2.720030864197531,0.7296738683127572,45.0,1.0,0.7003351851851852,0.029338683127572002,0.08749362139917692,0.1828325102880658,0.9216281812997493,0.7354451050619375,0.5540178474383635,0.2649289649048099
23,Forgetful Fool Me Once: 0.05,2.7194032921810702,0.7459798353909465,53.0,1.0,0.7135261316872428,0.03245370370370368,0.08106728395061734,0.17295288065843623,1.0,0.6401301528395809,0.051625836693774164,0.05086614650192878
24,Meta Winner: 8 players,2.7125617283950607,0.570214609053498,193.0,1.0,0.5603825102880664,0.009832098765432094,0.1505693415637857,0.2792160493827158,0.9028276251377426,0.6295450683312693,0.04141100739201605,0.053303562011520415
25,AON2,2.707057613168724,0.677895267489712,49.0,1.0,0.5994794238683128,0.07841584362139921,0.14654897119341573,0.17555576131687245,0.9955313792494817,0.16088274728751212,0,0.4610414987984919
26,MEM2,2.70582304526749,0.5950650205761316,79.0,1.0,0.5914987654320988,0.003566255144032922,0.13154711934156377,0.2733878600823044,0.9964826420867247,0.21332257568805896,0.26085217149134676,0
27,NMWE Finite Memory: 79 players,2.698713991769547,0.5759691358024691,70.0,1.0,0.562175720164609,0.013793415637860077,0.14740987654320983,0.276620987654321,0.8188656343912123,0.25035212786765165,0.10188119920705206,0.0765255110867871
28,Meta Hunter: 6 players,2.698611111111111,0.6266734567901234,62.0,1.0,0.5908625514403294,0.035810905349794225,0.1377767489711934,0.235549794238683,0.9060684620661353,0.722781159433979,0.15695330715316752,0.09373924600438813
29,NMWE Stochastic: 67 players,2.6981069958847734,0.5794769547325103,69.0,1.0,0.5644123456790123,0.015064609053497935,0.1458897119341564,0.27463333333333334,0.7882115576847628,0.22458811142106763,0.1173117766144356,0.0749198362605297
30,Second by Kluepfel,2.69667695473251,0.7430664609053498,31.0,1.0,0.7143639917695471,0.028702469135802478,0.07414794238683134,0.1827855967078189,0.9741946021964052,0.34360795711707104,0.599024942650152,0.0517194796566109
31,NMWE Memory One: 36 players,2.6958539094650207,0.568898353909465,79.0,1.0,0.5603255144032921,0.008572839506172837,0.14589176954732513,0.28520987654320984,0.8202092602480422,0.2338833577116894,0.12134178798397585,0.03468390827477303
32,First by Shubik,2.692160493827161,0.7275586419753086,49.0,1.0,0.6958650205761316,0.03169362139917695,0.08293168724279838,0.189509670781893,1.0,0,0.31031960782523105,0.21627165401724802
33,"Michaelos: (D,)",2.6917283950617277,0.6015092592592592,204.0,1.0,0.597515432098766,0.003993827160493827,0.12569691358024668,0.2727938271604935,0.9966950886506103,0,0.169925743840909,0
